FlagName,Category,UIDisplayName,ExpectedMeaning,ExpectedAction
IG Present,Count Flags,IG Present,Immature granulocyte (IG) % and/or absolute IG count is above the configured threshold.,"Review flagged cells/images and correlate with clinical context/delta check. Repeat measurement if unexpected. Perform smear review/manual differential if required by SOP."
Abn Lymphocyte?,Morphology Flags,Abn Lymphocyte?,"Proportion of abnormal lymphocyte–flagged cells meets ""Present"" criterion.","Review flagged cells; consider manual confirmation per SOP."
Atypical Lymphocyte?,Morphology Flags,Atypical Lymphocyte?,"Proportion of atypical/reactive lymphocyte–flagged cells meets ""Present"" criterion.","Review flagged cells; confirm per SOP if required."
Blast?,Morphology Flags,Blast?,"Proportion of blast-flagged cells meets ""Present"" criterion.","Manual confirmation; escalate per SOP."
IG Present?,Morphology Flags,IG Present?,"Proportion of IG-flagged cells meets ""Present"" criterion.","Review flagged cells; consider manual differential per SOP."
nRBC Present?,Morphology Flags,nRBC Present?,"Proportion of nRBC-flagged cells meets ""Present"" criterion.","Review flagged cells; consider interpretation impact; confirm per SOP."
PLT Clumps?,Morphology Flags,PLT Clumps?,"Platelet clumping meets ""Present"" criterion; PLT results may be affected.","Treat PLT with caution until verified; repeat and confirm clumping; follow SOP for recollection/alternative tube if needed."
Smudge Present?,Morphology Flags,Smudge Present?,"Smudge cell pattern meets ""Present"" criterion.","Review smear quality + flagged cells; confirm per SOP if clinically relevant."
Smear quality check,System Flags,Smear quality check,"The smear may not meet intended conditions (e.g., distribution, thickness, optimal region), which can affect image analysis and result interpretation.","1) Repeat measurement on the same specimen. 2) Inspect smear quality (adequate smear region, uniformity, feather edge/monolayer). 3) If inadequate, re-smear and repeat the test. 4) If frequent/persistent, review smear preparation workflow and perform routine QC/maintenance per IFU."
Stain quality check,System Flags,Stain quality check,"The stain quality may not meet intended conditions (e.g., under/overstaining, high background, precipitate), which can affect cell identification.","1) Repeat measurement. 2) Inspect stain quality and background (including precipitate/contamination). 3) If inadequate, re-stain or re-smear/re-stain and repeat the test. 4) If frequent/persistent, review staining reagents/process and perform routine QC per IFU."
Abnormal WBC Measurement,System Flags,Abnormal WBC Measurement,"Internal signals suggest reduced reliability of WBC-related results. This indicates ""verify before reporting,"" not simply a high/low value.","1) Do not report without additional verification. 2) Repeat measurement. 3) Check specimen condition (mixing, clots/microclots, hemolysis/lipemia, storage time). 4) Review cell images/smear quality; perform manual microscopy/manual differential if required by SOP. 5) If persistent across specimens, perform instrument QC/maintenance and contact support as needed."
Abnormal PLT Measurement,System Flags,Abnormal PLT Measurement,Internal signals suggest reduced reliability of platelet-related results; platelet clumping may affect PLT results.,"1) Do not report without additional verification. 2) Repeat measurement. 3) Check specimen condition (mixing, microclots). 4) Evaluate for platelet clumps in images/smear; treat PLT results with caution until verified. 5) If clumping is confirmed, follow SOP (e.g., recollection or alternative anticoagulant) and/or manual confirmation."
Abnormal RBC Measurement,System Flags,Abnormal RBC Measurement,"Internal signals suggest reduced reliability of RBC/CBC-related results (e.g., RBC/Hb/Hct/indices).","1) Do not report without additional verification. 2) Repeat measurement. 3) Check specimen condition (mixing, microclots, hemolysis/lipemia, storage time). 4) Review smear/stain quality and cell images; consider manual confirmation per SOP. 5) If unresolved, re-smear/re-stain and repeat and/or request recollection per local policy."
